Date,day,year,year2,DateSPSS,Name,Name2,Record#,TypeofInteraction,FemaleAgeclass,FemaleMotherClass,OffspringClass,ObservedReproductiveStatus,EndocrineStatusHormones,CyclePhaseHormones,ReproductiveStatus,Endo2,Endo3,Endo4,Endo5,Endo6,Endo7,Endo8,Pregnantvs.nonpregnant,E1CmgCr,PDGmgCr,CommentMET,EndorineComment,SocialInteraction,InteractionwithMale,Mating,NearMating,Consortship,ObservationMinutes,FollowType,FollowTypeII,Lengthofmating,PelvicThrusts,Male,MaletypeI,MaleTypeII,MaleTypeIII,MatingTypeExcel,MatingTypePercent,MatingTypePercentII,MatingTypeII,MatingTypeIII,Matingtypequestionable,TotalnonresistantProceptiveandResistanceBehaviors,NonResistantBeforeBehaviors,NonResistantDuringBehaviors,Totalnonresistantbehaviors,NonresistantBehaviors,ProceptiveBehaviors,ProceptiveBehaviors_A,TotalunresistedandProcepetivebehaviors,unresistedandProcepetivebehaviors,ResistantBeforeBehaviors,BeforeBehaviors,ResistantDuringBehaviors,DuringBehaviors,TotalResistantBehaviors,ResistantBehaviors,AttractionBehaviors,Mating01,POP,preg,lact,prime,past,unflanged,included,endomiss
34512,179,94,94.48870636550308,06/28/1994,Kristen,Kristen,1136,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,N,N,N,N,540,Half Day,, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34519,186,94,94.507871321013,07/05/1994,Kristen,Kristen,1157,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,N,N,N,N,82,Half Day,, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34529,196,94,94.53524982888433,07/15/1994,Kristen,Kristen,1173,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,Y,N,N,N,495,L  late full day,, , ,Jari Manis,Flanged,Past Prime,Non-Prime,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0,0,1,0,1,1
34533,200,94,94.54620123203286,07/19/1994,Kristen,Kristen,1180,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,180,Half Day,, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34534,201,94,94.54893908281998,07/20/1994,Kristen,Kristen,1183,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,N,N,N,N,680,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34535,202,94,94.55167693360711,07/21/1994,Kristen,Kristen,1186,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,N,N,N,N,645,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34536,203,94,94.55441478439425,07/22/1994,Kristen,Kristen,1189,,Adult Female,Mother,Inf ind juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,32222,1007,"high e & p, should be luteal",,Y,N,N,N,N,590,L  late full day,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34537,204,94,94.55715263518138,07/23/1994,Kristen,Kristen,1192,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg, , ,,,Y,N,N,N,N,700,L  late full day,, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34538,205,94,94.55989048596851,07/24/1994,Kristen,Kristen,1195,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg, , ,,,Y,N,N,N,N,656,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34539,206,94,94.56262833675565,07/25/1994,Kristen,Kristen,1198,,Adult Female,Mother,Inf ind juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,7038,890,,,partial,,N,N,N,683,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34540,207,94,94.56536618754278,07/26/1994,Kristen,Kristen,1201,,Adult Female,Mother,Inf ind juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,12634,565,,,Maybe,N,N,N,N,630,L  late full day,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34588,255,94,94.69678302532512,09/12/1994,Kristen,Kristen,1246,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Data Missing,,,,,255,D  found then full day,, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34590,257,94,94.70225872689939,09/14/1994,Kristen,Kristen,1248,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,212,D  found then full day,, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34591,258,94,94.70499657768652,09/15/1994,Kristen,Kristen,1251,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,Y,N,N,N,340,H  lost,, , ,Jari Manis,Flanged,Past Prime,Non-Prime,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0,0,1,0,1,1
34594,261,94,94.71321013004791,09/18/1994,Kristen,Kristen,1260,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,255,D  found then full day,, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34595,262,94,94.71594798083504,09/19/1994,Kristen,Kristen,1263,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,Y,N,N,,665,F  full,F, , ,Jari Manis,Flanged,Past Prime,Non-Prime,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0,0,1,0,1,1
34596,263,94,94.71868583162218,09/20/1994,Kristen,Kristen,1267,,Adult Female,Mother,Inf ind juv,L4,cycling,Not sure,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg,6163,212,,,N,N,N,N,N,769,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34603,270,94,94.7378507871321,09/27/1994,Kristen,Kristen,1286,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,N,N,N,N,405,D  found then full day,, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34604,271,94,94.74058863791923,09/28/1994,Kristen,Kristen,1290,,Adult Female,Mother,Inf ind juv,L4,cycling,Not sure,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg,9296,3924,,,N,N,N,N,N,755,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34605,272,94,94.74332648870636,09/29/1994,Kristen,Kristen,1292,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,615,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34606,273,94,94.7460643394935,09/30/1994,Kristen,Kristen,1293,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,605,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34607,274,94,94.74880219028063,10/01/1994,Kristen,Kristen,1294,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,696,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34608,275,94,94.75154004106776,10/02/1994,Kristen,Kristen,1295,,Adult Female,Mother,Inf ind juv,L4,cycling,Not sure,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg,12431,379,,,Y,Y,N,N,N,712,F  full,F, , ,Jari Manis,Flanged,Past Prime,Non-Prime,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0,0,1,0,1,1
34633,300,94,94.81998631074606,10/27/1994,Kristen,Kristen,1312,,Adult Female,Mother,Inf ind juv,L4,cycling,Not sure,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg,14637,583,,,Y,N,N,N,N,675,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34634,301,94,94.8227241615332,10/28/1994,Kristen,Kristen,1315,,Adult Female,Mother,Inf ind juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,6487,101,,,Y,N,N,N,N,708,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34635,302,94,94.82546201232033,10/29/1994,Kristen,Kristen,1318,,Adult Female,Mother,Inf ind juv,L4,cycling,Not sure,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg,18671,200,,,Y,N,N,N,N,825,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34636,303,94,94.82819986310746,10/30/1994,Kristen,Kristen,1321,,Adult Female,Mother,Inf ind juv,L4,cycling,Not sure,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg,9069,183,,,Y,N,N,N,N,700,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34637,304,94,94.8309377138946,10/31/1994,Kristen,Kristen,1323,,Adult Female,Mother,Inf ind juv,L4,cycling,Not sure,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg,11068,451,,,Y,N,N,N,N,767,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34638,305,94,94.83367556468173,11/01/1994,Kristen,Kristen,1326,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,589,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34639,306,94,94.83641341546885,11/02/1994,Kristen,Kristen,1331,,Adult Female,Mother,Inf ind juv,L4,cycling,Not sure,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg,13707,959,,,Y,N,N,N,N,684,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34640,307,94,94.839151266256,11/03/1994,Kristen,Kristen,1336,,Adult Female,Mother,Inf ind juv,L4,cycling,Not sure,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg,25804,262,,,Y,Y,N,N,N,680,F  full,F, , ,Jari Manis,Flanged,Past Prime,Non-Prime,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0,0,1,0,1,1
34641,308,94,94.84188911704312,11/04/1994,Kristen,Kristen,1341,,Adult Female,Mother,Inf ind juv,L4,cycling,Not sure,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg,33828,351,,,Y,N,N,N,N,692,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34642,309,94,94.84462696783025,11/05/1994,Kristen,Kristen,1346,,Adult Female,Mother,Inf ind juv,L4,cycling,Not sure,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg,10205,256,,,partial,,N,N,N,765,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34643,310,94,94.84736481861738,11/06/1994,Kristen,Kristen,1351,,Adult Female,Mother,Inf ind juv,L4,cycling,Not sure,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg,13098,123,,,Y,N,N,N,N,713,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34644,311,94,94.85010266940452,11/07/1994,Kristen,Kristen,1356,,Adult Female,Mother,Inf ind juv,L4,cycling,Not sure,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg,18787,213,,,N,N,N,N,N,685,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34645,312,94,94.85284052019165,11/08/1994,Kristen,Kristen,1361,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,N,N,N,N,597,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34646,313,94,94.85557837097878,11/09/1994,Kristen,Kristen,1365,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,642,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34647,314,94,94.85831622176592,11/10/1994,Kristen,Kristen,1369,,Adult Female,Mother,Inf ind juv,L4,cycling,Not sure,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg,29497,503,,,Y,N,N,N,N,660,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34648,315,94,94.86105407255305,11/11/1994,Kristen,Kristen,1373,,Adult Female,Mother,Inf ind juv,L4,cycling,Not sure,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg,15127,385,,,Maybe,N,N,N,N,605,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34649,316,94,94.86379192334017,11/12/1994,Kristen,Kristen,1377,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,N,N,N,N,761,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34650,317,94,94.86652977412732,11/13/1994,Kristen,Kristen,1381,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,0,N  No data,, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34658,325,94,94.88843258042436,11/21/1994,Kristen,Kristen,1404,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,N,N,N,N,450,D  found then full day,, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34659,326,94,94.89117043121149,11/22/1994,Kristen,Kristen,1409,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,N,N,N,N,585,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34660,327,94,94.89390828199863,11/23/1994,Kristen,Kristen,1414,,Adult Female,Mother,Inf ind juv,L4,cycling,Not sure,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg,9175,1011,,,Y,N,N,N,N,725,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34661,328,94,94.89664613278576,11/24/1994,Kristen,Kristen,1418,,Adult Female,Mother,Inf ind juv,L4,cycling,Not sure,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg,21545,402,,,Y,N,N,N,N,641,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34662,329,94,94.89938398357289,11/25/1994,Kristen,Kristen,1422,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,N,N,N,N,715,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34663,330,94,94.90212183436003,11/26/1994,Kristen,Kristen,1426,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,N,N,N,N,640,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34664,331,94,94.90485968514716,11/27/1994,Kristen,Kristen,1430,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,692,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34665,332,94,94.90759753593429,11/28/1994,Kristen,Kristen,1435,,Adult Female,Mother,Inf ind juv,L4,cycling,Not sure,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg,4280,313,,,N,N,N,N,N,700,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34666,333,94,94.91033538672143,11/29/1994,Kristen,Kristen,1439,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,740,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34667,334,94,94.91307323750856,11/30/1994,Kristen,Kristen,1443,,Adult Female,Mother,Inf ind juv,L4,cycling,Not sure,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg,18630,457,,,N,N,N,N,N,680,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34668,335,94,94.91581108829568,12/01/1994,Kristen,Kristen,1448,,Adult Female,Mother,Inf ind juv,L4,cycling,Not sure,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg,13074,388,,,N,N,N,N,N,735,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34669,336,94,94.91854893908283,12/02/1994,Kristen,Kristen,1453,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,N,N,N,N,716,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34670,337,94,94.92128678986995,12/03/1994,Kristen,Kristen,1457,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,N,N,N,N,685,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34804,105,95,95.28815879534565,04/15/1995,Kristen,Kristen,1636,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,N,N,N,N,744,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34805,106,95,95.29089664613278,04/16/1995,Kristen,Kristen,1639,,Adult Female,Mother,Inf ind juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,8898,402,,,Y,N,N,N,N,760,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34810,111,95,95.30458590006845,04/21/1995,Kristen,Kristen,1647,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,255,D  found then full day,, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34811,112,95,95.30732375085557,04/22/1995,Kristen,Kristen,1650,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Maybe,N,N,N,N,773,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34812,113,95,95.31006160164272,04/23/1995,Kristen,Kristen,1653,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,N,N,N,N,740,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34813,114,95,95.31279945242984,04/24/1995,Kristen,Kristen,1657,,Adult Female,Mother,Inf ind juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,16549,4623,high p,,Y,N,N,N,N,760,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34814,115,95,95.31553730321697,04/25/1995,Kristen,Kristen,1661,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Maybe,N,N,N,N,767,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34815,116,95,95.31827515400411,04/26/1995,Kristen,Kristen,1665,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,N,N,N,N,663,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34816,117,95,95.32101300479124,04/27/1995,Kristen,Kristen,1669,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,N,N,N,N,687,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34817,118,95,95.32375085557837,04/28/1995,Kristen,Kristen,1673,,Adult Female,Mother,Inf ind juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,11241,531,,,Y,N,N,N,N,735,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34818,119,95,95.32648870636551,04/29/1995,Kristen,Kristen,1676,,Adult Female,Mother,Inf ind juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,7135,1679,,,N,N,N,N,N,590,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34819,120,95,95.32922655715264,04/30/1995,Kristen,Kristen,1679,,Adult Female,Mother,Inf ind juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,15911,1983,,,N,N,N,N,N,838,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34820,121,95,95.33196440793976,05/01/1995,Kristen,Kristen,1682,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg, , ,,,N,N,N,N,N,770,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34821,122,95,95.33470225872689,05/02/1995,Kristen,Kristen,1685,,Adult Female,Mother,Inf ind juv,L4,cycling,non-pop,Cycling,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,non-POP,Non-Preg,21081,758,,,N,N,N,N,N,680,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,0
34822,123,95,95.33744010951403,05/03/1995,Kristen,Kristen,1688,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,N,N,N,N,797,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34823,124,95,95.34017796030116,05/04/1995,Kristen,Kristen,1691,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,Y,N,N,,727,L  late full day,F, , ,Flanged Male,Flanged,No Data,No Data,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34824,125,95,95.34291581108829,05/05/1995,Kristen,Kristen,1695,,Adult Female,Mother,Inf no juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,310,D  found then full day,, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34825,126,95,95.34565366187543,05/06/1995,Kristen,Kristen,1699,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,720,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34826,127,95,95.34839151266256,05/07/1995,Kristen,Kristen,1704,,Adult Female,Mother,Inf ind juv,L4,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,N,N,N,N,N,576,N  No data,, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
34922,223,95,95.61122518822724,08/11/1995,Kristen,Kristen,1855,,Adult Female,Mother,Over 4 yrs,L5,,,Cycling,Cycling,Cycling,Cycling,Cycling,No Data,No Data,No Data,Non-Preg, , ,,,Y,N,N,N,N,773,F  full,F, , ,,,,,,,,,,, , , , , , , , , , , , , , , , ,0,0,0,0, , , ,0,1
